City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
409,Mae Sai,TH,76.44,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
410,Derzhavinsk,KZ,73.98,broken clouds,51.1,66.3167,Ooo.khim Baza
412,Jalingo,NG,74.37,overcast clouds,8.8833,11.3667,Debright Motel
416,Panzhihua,CN,70.05,overcast clouds,26.5851,101.7128,Electric Power Hotel
417,Upata,VE,79.43,scattered clouds,8.0086,-62.3989,Posada Villa Nela
418,Japura,ID,75.24,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
419,Bud,US,84.92,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
422,Sechura,PE,78.08,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
423,Segamat,MY,76.82,overcast clouds,2.5148,102.8158,VIP HOTEL
425,Kisangani,CD,74.03,light rain,0.5167,25.2,Grand Ramela Hotel
426,Kieta,PG,78.13,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
428,Naranjal,EC,84.0,few clouds,-2.6667,-79.6167,Media Naranja
429,Itarema,BR,81.88,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
430,Karaton,ID,75.33,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
431,Chuhar Kana,PK,86.11,overcast clouds,31.75,73.8,King House
434,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
436,Biltine,TD,82.2,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
437,Nikki,BJ,70.97,overcast clouds,9.9401,3.2108,Hotel John
442,Grand Baie,MU,70.27,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
443,Aksay,RU,81.36,moderate rain,47.26,39.87,Chernaya Zhemchuzhina
448,Dingle,PH,76.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
455,Zhicheng,CN,78.57,light rain,30.2956,111.5047,Wangjiang Building
458,Palencia,ES,76.8,clear sky,42.4167,-4.5,Hotel Area de Servicio Los Chopos
460,Callaway,US,89.19,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
462,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
463,Rach Gia,VN,78.75,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
464,Saiha,IN,70.72,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
465,Akyab,MM,80.29,light rain,20.15,92.9,Hotel Memory
468,Terme,TR,73.92,clear sky,41.2092,36.9739,OTEL GÜVEN TERME
473,Crotone,IT,71.92,overcast clouds,39.0851,17.1178,Helios Hotel
476,Buala,SB,78.6,light rain,-8.145,159.5921,Maringe Lagoon Lodge
477,Port Hawkesbury,CA,75.58,mist,45.6169,-61.3485,MacKenzie House Tourist Home B&B
478,Ahar,IR,71.73,clear sky,38.4774,47.0699,هتل رضوی
479,Tabou,CI,75.83,light rain,4.423,-7.3528,hotêl doufoulougou
482,San Quintin,MX,74.39,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
487,Ambunti,PG,71.76,scattered clouds,-4.2365,142.8448,Ambunti Lodge
488,Komsomolskiy,UZ,81.32,scattered clouds,40.4272,71.7189,Ikathouse
489,Warri,NG,74.66,scattered clouds,5.5167,5.75,BON Hotel Delta
