City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Nanortalik,GL,2021-08-05 19:50:38,60.1432,-45.2371,47.37,90,100,6.87,overcast clouds
131,Port Elizabeth,ZA,2021-08-05 19:48:08,-33.918,25.5701,61.09,82,40,14.97,light rain
132,Obuasi,GH,2021-08-05 19:50:38,6.206,-1.6619,71.64,95,100,1.77,light rain
133,Brae,GB,2021-08-05 19:50:39,60.3964,-1.353,60.71,90,36,16.53,scattered clouds
134,Victoria,HK,2021-08-05 19:50:39,22.2855,114.1577,84.16,96,100,3.0,heavy intensity rain
135,Lasa,IT,2021-08-05 19:49:54,46.6166,10.7002,62.51,83,93,4.36,overcast clouds
136,Hermiston,US,2021-08-05 19:46:56,45.8404,-119.2895,94.8,37,1,4.61,clear sky
137,Tateyama,JP,2021-08-05 19:50:40,34.9833,139.8667,80.62,85,29,8.55,scattered clouds
138,Nome,US,2021-08-05 19:49:33,64.5011,-165.4064,61.16,76,1,19.57,clear sky
139,Kampong Thum,KH,2021-08-05 19:50:40,12.7111,104.8887,77.04,93,100,3.13,light rain
140,Chingirlau,KZ,2021-08-05 19:50:40,51.095,54.0814,74.32,40,100,10.67,overcast clouds
141,Okha,RU,2021-08-05 19:50:40,53.5739,142.9478,54.61,87,100,13.82,overcast clouds
142,Mykolayivka,UA,2021-08-05 19:50:41,47.5414,30.7561,73.02,84,27,10.18,scattered clouds
143,Ilulissat,GL,2021-08-05 19:49:25,69.2167,-51.1,49.89,58,100,16.96,overcast clouds
144,Mbala,ZM,2021-08-05 19:50:41,-8.8402,31.3659,65.75,48,52,6.24,broken clouds
145,Atuona,PF,2021-08-05 19:50:42,-9.8,-139.0333,77.88,75,36,15.9,light rain
146,Cidreira,BR,2021-08-05 19:50:42,-30.1811,-50.2056,61.84,88,96,14.54,overcast clouds
147,Ponta Do Sol,PT,2021-08-05 19:50:42,32.6667,-17.1,75.7,83,29,1.5,scattered clouds
148,Turayf,SA,2021-08-05 19:50:42,31.6725,38.6637,88.05,18,0,11.5,clear sky
149,Tiarei,PF,2021-08-05 19:50:43,-17.5333,-149.3333,82.42,77,86,10.33,overcast clouds
150,Zhezkazgan,KZ,2021-08-05 19:50:43,47.8043,67.7144,78.91,30,76,9.35,broken clouds
151,Inhambane,MZ,2021-08-05 19:50:43,-23.865,35.3833,64.38,94,20,8.1,few clouds
152,Sao Joao Da Barra,BR,2021-08-05 19:50:43,-21.6403,-41.0511,68.09,78,91,9.51,overcast clouds
153,Karpinsk,RU,2021-08-05 19:50:44,59.7654,60.0085,59.38,98,39,5.26,scattered clouds
154,Sibay,RU,2021-08-05 19:50:44,52.7181,58.6658,66.42,67,42,5.73,scattered clouds
155,Lorengau,PG,2021-08-05 19:50:44,-2.0226,147.2712,80.01,82,100,7.02,overcast clouds
156,Beloha,MG,2021-08-05 19:49:26,-25.1667,45.05,65.03,72,0,7.0,clear sky
157,Saint Anthony,US,2021-08-05 19:50:45,45.0205,-93.218,84.34,65,1,5.99,clear sky
158,Ginda,IN,2021-08-05 19:50:45,30.6945,78.4932,65.52,95,63,2.06,broken clouds
159,Altay,CN,2021-08-05 19:50:45,47.8667,88.1167,56.73,68,8,4.59,clear sky
160,Faya,SA,2021-08-05 19:48:28,18.3851,42.4509,64.92,67,83,4.07,broken clouds
161,Codrington,AU,2021-08-05 19:50:45,-38.2667,141.9667,51.37,82,100,11.36,overcast clouds
162,Paamiut,GL,2021-08-05 19:48:58,61.994,-49.6678,44.82,95,100,32.01,moderate rain
163,Hobyo,SO,2021-08-05 19:50:46,5.3505,48.5268,76.42,81,77,28.54,broken clouds
164,Chernolesskoye,RU,2021-08-05 19:50:46,44.7156,43.7133,82.89,33,0,13.85,clear sky
165,Hurghada,EG,2021-08-05 19:49:16,27.2574,33.8129,89.64,66,0,0.0,dust
166,Hirara,JP,2021-08-05 19:50:47,24.8,125.2833,82.29,87,100,21.3,light rain
167,Alyangula,AU,2021-08-05 19:50:47,-13.8483,136.4192,58.87,82,85,0.0,overcast clouds
168,Wasilla,US,2021-08-05 19:49:34,61.5814,-149.4394,65.84,79,90,3.44,smoke
169,Glens Falls,US,2021-08-05 19:50:28,43.3095,-73.644,83.71,52,1,1.99,clear sky
170,Yar-Sale,RU,2021-08-05 19:49:17,66.8333,70.8333,61.63,74,81,7.18,broken clouds
171,Mantua,IT,2021-08-05 19:46:37,45.1667,10.7833,77.32,72,4,4.65,clear sky
172,Sorab,IN,2021-08-05 19:50:47,14.3833,75.1,70.84,95,100,10.27,overcast clouds
173,Saskylakh,RU,2021-08-05 19:50:48,71.9167,114.0833,48.2,69,12,6.24,few clouds
174,Ayacucho,PE,2021-08-05 19:50:48,-13.1583,-74.2239,71.46,18,0,3.44,clear sky
175,Kipushi,CD,2021-08-05 19:50:48,-11.7667,27.2333,60.96,34,0,4.21,clear sky
176,Shingu,JP,2021-08-05 19:49:21,33.7333,135.9833,77.92,95,100,9.53,overcast clouds
177,Limbang,MY,2021-08-05 19:50:49,4.75,115.0,79.11,96,62,1.79,broken clouds
178,Miraflores,MX,2021-08-05 19:50:49,19.2167,-98.8083,69.87,77,100,1.7,overcast clouds
179,Bathsheba,BB,2021-08-05 19:49:39,13.2167,-59.5167,83.59,73,10,12.97,clear sky
180,Seoni,IN,2021-08-05 19:50:49,22.0833,79.5333,71.08,94,87,5.46,overcast clouds
181,Faanui,PF,2021-08-05 19:50:50,-16.4833,-151.75,79.03,70,24,10.29,few clouds
182,Adrar,MR,2021-08-05 19:50:39,20.5022,-10.0711,98.62,13,5,13.8,clear sky
183,Provideniya,RU,2021-08-05 19:50:50,64.3833,-173.3,50.11,71,0,11.18,clear sky
184,Lompoc,US,2021-08-05 19:50:50,34.6391,-120.4579,80.31,67,1,14.97,mist
185,Kingaroy,AU,2021-08-05 19:50:51,-26.5333,151.8333,42.84,93,33,4.61,scattered clouds
186,Ulaanbaatar,MN,2021-08-05 19:50:51,47.9077,106.8832,48.33,93,0,2.24,clear sky
187,Alepe,CI,2021-08-05 19:50:51,5.5004,-3.6631,78.67,86,65,4.18,broken clouds
188,Bengkulu,ID,2021-08-05 19:50:52,-3.8004,102.2655,75.27,90,96,3.67,overcast clouds
189,Esperance,AU,2021-08-05 19:50:52,-33.8667,121.9,49.84,82,0,10.51,clear sky
190,Geraldton,AU,2021-08-05 19:50:52,-28.7667,114.6,43.21,87,0,6.91,clear sky
191,Sola,VU,2021-08-05 19:50:52,-13.8833,167.55,77.83,75,28,2.91,scattered clouds
